Year,Champion,Runner-Up,Finals MVP,Points,Rebounds,Assists
2021,Milwaukee Bucks,Phoenix Suns,G. Antetokounmpo,G. Antetokounmpo ,G. Antetokounmpo ,J. Holiday 
2020,Los Angeles Lakers,Miami Heat,L. James,A. Davis ,L. James ,J. Butler
2019,Toronto Raptors,Golden State Warriors,K. Leonard,K. Leonard ,D. Green ,D. Green
2018,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James ,K. Love ,L. James
2017,Golden State Warriors,Cleveland Cavaliers,K. Durant,L. James ,L. James,L. James
2016,Cleveland Cavaliers,Golden State Warriors,L. James,L. James ,L. James,L. James
2015,Golden State Warriors,Cleveland Cavaliers,A. Iguodala,L. James ,L. James,L. James
2014,San Antonio Spurs,Miami Heat,K. Leonard,L. James,T. Duncan ,B. Diaw
2013,Miami Heat,San Antonio Spurs,L. James,L. James ,T. Duncan ,L. James
2012,Miami Heat,Oklahoma City Thunder,L. James,K. Durant,L. James ,L. James
2011,Dallas Mavericks,Miami Heat,D. Nowitzki,D. Wade ,D. Nowitzki ,L. James
2010,Los Angeles Lakers,Boston Celtics,K. Bryant,K. Bryant ,P. Gasol,R. Rondo
2009,Los Angeles Lakers,Orlando Magic,K. Bryant,K. Bryant ,D. Howard,K. Bryant
2008,Boston Celtics,Los Angeles Lakers,P. Pierce,K. Bryant ,K. Garnett,R. Rondo
2007,San Antonio Spurs,Cleveland Cavaliers,T. Parker,T. Parker,T. Duncan ,L. James
2006,Miami Heat,Dallas Mavericks,D. Wade,D. Wade ,D. Nowitzki ,J. Williams
2005,San Antonio Spurs,Detroit Pistons,T. Duncan,T. Duncan ,T. Duncan ,C. Billups
2004,Detroit Pistons,Los Angeles Lakers,C. Billups,S. O'Neal,B. Wallace,C. Billups 
2003,San Antonio Spurs,New Jersey Nets,T. Duncan,T. Duncan ,T. Duncan ,J. Kidd
2002,Los Angeles Lakers,New Jersey Nets,S. O'Neal,S. O'Neal ,S. O'Neal,J. Kidd
2001,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal,A. Iverson,S. O'Neal,A. McKie
2000,Los Angeles Lakers,Indiana Pacers,S. O'Neal,S. O'Neal ,S. O'Neal ,M. Jackson
1999,San Antonio Spurs,New York Knicks,T. Duncan,T. Duncan ,T. Duncan ,A. Johnson
1998,Chicago Bulls,Utah Jazz,M. Jordan,M. Jordan ,K. Malone,J. Stockton
1997,Chicago Bulls,Utah Jazz,M. Jordan,M. Jordan ,K. Malone,J. Stockton
1996,Chicago Bulls,Seattle SuperSonics,M. Jordan,M. Jordan ,D. Rodman ,G. Payton
1995,Houston Rockets,Orlando Magic,H. Olajuwon,H. Olajuwon ,S. O'Neal,A. Hardaway
1994,Houston Rockets,New York Knicks,H. Olajuwon,H. Olajuwon,P. Ewing,D. Harper
1993,Chicago Bulls,Phoenix Suns,M. Jordan,M. Jordan ,C. Barkley,S. Pippen
1992,Chicago Bulls,Portland Trail Blazers,M. Jordan,M. Jordan ,J. Kersey,S. Pippen
1991,Chicago Bulls,Los Angeles Lakers,M. Jordan,M. Jordan ,S. Pippen,M. Johnson
1990,Detroit Pistons,Portland Trail Blazers,I. Thomas,I. Thomas,B. Laimbeer,T. Porter
1989,Detroit Pistons,Los Angeles Lakers,J. Dumars,J. Dumars,D. Rodman,M. Johnson
1988,Los Angeles Lakers,Detroit Pistons,J. Worthy,J. Worthy ,B. Laimbeer ,M. Johnson
1987,Los Angeles Lakers,Boston Celtics,M. Johnson,M. Johnson,L. Bird ,M. Johnson
1986,Boston Celtics,Houston Rockets,L. Bird,K. McHale,H. Olajuwon,L. Bird
1985,Los Angeles Lakers,Boston Celtics,K. Abdul-Jabbar,K. McHale,K. McHale,M. Johnson
1984,Boston Celtics,Los Angeles Lakers,L. Bird,L. Bird,L. Bird,M. Johnson
1983,Philadelphia 76ers,Los Angeles Lakers,M. Malone,M. Malone ,M. Malone,M. Johnson
1982,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,A. Toney,M. Johnson,N. Nixon
1981,Boston Celtics,Houston Rockets,C. Maxwell,M. Malone ,M. Malone,L. Bird
1980,Los Angeles Lakers,Philadelphia 76ers,M. Johnson,K. Abdul-Jabbar ,K. Abdul-Jabbar ,L. Hollins
